signe	nom_propose	hpo_id	label_hpo	n	choix	arbitre
attention-deficit/hyperactivity disorder	Attention deficit hyperactivity disorder	HP:0007018	Attention deficit hyperactivity disorder	55	HP:0007018	
Developmental delay / intellectual disability	Intellectual disability	HP:0001249	Intellectual disability	30	HP:0001249	
Developmental delay / intellectual disability	Developmental delay	HP:0001263	Global developmental delay	27	HP:0001263	
congenital heart disease	Congenital heart defect	HP:0001627	Abnormal heart morphology	22	HP:0001627	
Refractive errors	Abnormality of refraction	HP:0000539	Abnormality of refraction	22	HP:0000539	
Poor weight gain	Failure to thrive	HP:0001508	Failure to thrive	20	HP:0001508	
Autistic features	Autistic behavior	HP:0000729	Autistic behavior	18	HP:0000729	
Pulmonary hypertension	Pulmonary arterial hypertension	HP:0002092	Pulmonary arterial hypertension	18	PARENT:HP:0033578	next:PARENT Pulmonary hypertension
end-stage kidney disease	End-stage renal disease	HP:0003774	Stage 5 chronic kidney disease	11	HP:0003774	
feeding issues	Feeding difficulties	HP:0011968	Feeding difficulties	11	HP:0011968	
hearing loss	Hearing abnormality	HP:0000364	Hearing abnormality	10	HP:0000364	
Hydropic appearance	Hydrops fetalis	HP:0001789	Hydrops fetalis	10	HP:0001789	
Learning disabilities	Intellectual disability	HP:0001249	Intellectual disability	10	HP:0001328	
Renal abnormalities	Abnormality of the kidney	HP:0000077	Abnormality of the kidney	10	HP:0000077	
Brain anomalies	Abnormality of brain morphology	HP:0012443	Abnormal brain morphology	9	HP:0012443	
regression	Developmental regression	HP:0002376	Developmental regression	9	HP:0002376	
stereotypies	Motor stereotypy	HP:0000733	Motor stereotypy	9	HP:0000733	next:OK
Café au lait macules	Café-au-lait spot	HP:0000957	Cafe-au-lait spot	8	HP:0000957	
colorectal cancer	Colon cancer	HP:0003003	Colon cancer	8	PARENT:HP:0100273	next:PARENT Colorectal cancer
Cytopenias	Pancytopenia	HP:0001876	Pancytopenia	8	PARENT:HP:0012145	next:PARENT Cytopenia
Delayed dentition	Delayed tooth eruption	HP:0000684	Delayed eruption of teeth	8	HP:0000684	
dysmorphic features	Dysmorphic facial feature	HP:0001999	Abnormal facial shape	8	PARENT:HP:0001999	
Genitourinary anomalies	Abnormality of the genitourinary system	HP:0000119	Abnormality of the genitourinary system	8	HP:0000119	
Learning disability	Intellectual disability	HP:0001249	Intellectual disability	8	HP:0001328	
Ligamentous laxity	Joint hypermobility	HP:0001382	Joint hypermobility	8	HP:0001382	
Monodactyly	Hand monodactyly	HP:0004058	Hand monodactyly	8	PARENT:HP:0009380	next:PARENT Monodactyly
cognitive dysfunction	Intellectual disability	HP:0001249	Intellectual disability	7	HP:0001249	
Fetal hydrops	Hydrops fetalis	HP:0001789	Hydrops fetalis	7	HP:0001789	
incontinence	Urinary incontinence	HP:0000020	Urinary incontinence	7	HP:0000020	
Infant feeding difficulties	Feeding difficulties in infancy	HP:0008872	Feeding difficulties in infancy	7	HP:0008872	
kidney failure	Renal failure	HP:0000083	Renal insufficiency	7	HP:0000083	
Ocular abnormalities	Abnormality of the eye	HP:0000478	Abnormality of the eye	7	HP:0000478	
ocular anomalies	Abnormality of the eye	HP:0000478	Abnormality of the eye	7	HP:0000478	
recurrent vomiting	Vomiting	HP:0002013	Vomiting	7	HP:0002013	
Roving eye movements	Abnormal eye movements	HP:0000496	Abnormality of eye movement	7	HP:0000496	
Short hands and feet	Short foot	HP:0001773	Short foot	7	HP:0200055+HP:0001773	
Shortness of stature	Short stature	HP:0004322	Short stature	7	HP:0004322	
Sleep disorders	Sleep disturbance	HP:0002360	Sleep disturbance	7	HP:0002360	
